idx,First_Middle_Name,Last_Name,company,Title,notes,tax1,city,Country,Continent,website,"lat, lng",lat,lng,tax2,tax3
113,Leslie,Alden,Leslie Alden,Co-Founder and Executive Director,DRAWDOWN Bay Area,Non-Profit,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/leslie-alden-a134aa11/,"37.7749295, -122.4194155",37.77493,-122.419416,Unknown,Unknown
114,Mattias,Goldmann,Mattias Goldmann,Chief Sustainability Officer,Sweco,For-Profit,Stockholm,Sweden,Europe,https://www.linkedin.com/in/mattiasgoldmann/,"59.32932349999999, 18.0685808",59.329324,18.068581,Unknown,Unknown
115,Manuel,Alonso-Martinez,Manuel Alonso-Martinez,Executive Director,Earth Team,Non-Profit,"El Sobrante, CA",USA,North America,https://www.linkedin.com/in/manuel-alonso-martinez-b14aa220/,"37.9771452, -122.2952474",37.977145,-122.295247,Unknown,Unknown
116,Anders,Wijkman,Anders Wijkman,Co-President,Club of Rome,Non-Profit,Stockholm,Sweden,Europe,https://www.linkedin.com/in/anders-wijkman-1456058/,"59.32932349999999, 18.0685808",59.329324,18.068581,Unknown,Unknown
117,Abigail,Dillen,Abigail Dillen,President,Earthjustice,Non-Profit,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/abbie-dillen/ ,"37.7749295, -122.4194155",37.77493,-122.419416,Unknown,Unknown
118,Alexander,Nick,Alexander Nick,Head of Sustainability Strategy and Management,BMW,For-Profit,Munich,Germany,Europe,https://www.linkedin.com/in/alnick/,"48.1351253, 11.5819805",48.135125,11.58198,Unknown,Unknown
119,Cheryl,Dorsey,Cheryl Dorsey,President,Echoing Green,Non-Profit,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/cheryl-dorsey/,"38.9071923, -77.0368707",38.907192,-77.036871,Unknown,Unknown
120,Emilio,Tenuta,Emilio Tenuta,Vice President Corporate Sustainability,Ecolab,For-Profit,"Saint Paul, MN",USA,North America,https://www.linkedin.com/in/emilio-tenuta-670846/,"44.9537029, -93.0899578",44.953703,-93.089958,Unknown,Unknown
121,Tedd,Saunders,Tedd Saunders,Founder and Chief Executive Officer,EcoLogical Solutions,For-Profit,"Boston, MA",USA,North America,https://www.linkedin.com/in/tedd-saunders-a883a51/,"42.3600825, -71.0588801",42.360082,-71.05888,Unknown,Unknown
122,Andy,Karsner,Andy Karsner,Partner,Emerson Collective,For-Profit,"Palo Alto, CA",USA,North America,https://www.linkedin.com/in/andy-karsner-3191952/,"37.4418834, -122.1430195",37.441883,-122.14302,Unknown,Unknown
123,Dawn,Lippert,Dawn Lippert,Chief Executive Officer,Elemental Excelerator,Non-Profit,"Honolulu, Hawaii",USA,North America,https://www.linkedin.com/in/dawnlippert/,"21.3069444, -157.8583333",21.306944,-157.858333,Unknown,Unknown
124,Genevieve,Guenther,Genevieve Guenther,Founder and Director,End Climate Silence,Non-Profit,"New York, NY",USA,North America,https://www.linkedin.com/in/genevieveguenther/ ,"40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
125,Jill,Dumain,Jill Dumain,CEO,bluesign technologies ag,For-Profit,St. Gallen,Switzerland,Europe,https://www.linkedin.com/in/jilldumain/?originalSubdomain=ch,"47.4244818, 9.3767173",47.424482,9.376717,Unknown,Unknown
126,Carl,Mas,Carl Mas,Director,Energy and Environmental Analysis at NYSERDA,For-Profit,"Albany, NY",USA,North America,https://www.linkedin.com/in/carl-mas-b8307b48/,"42.6525793, -73.7562317",42.652579,-73.756232,Unknown,Unknown
127,Melanie,Kenderdine,Melanie Kenderdine,President,Energy Futures Initiative,Non-Profit,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/melanie-kenderdine-b13bb7bb/,"38.9071923, -77.0368707",38.907192,-77.036871,Unknown,Unknown
128,Ernest,Moniz,Ernest Moniz,President and Chief Executive Officer,Energy Futures Initiative,Non-Profit,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/ernestmoniz/ ,"38.9071923, -77.0368707",38.907192,-77.036871,Unknown,Unknown
129,Martha Hall,Findlay,Martha Hall Findlay,Chief Sustainability Officer,Suncor,For-Profit,Calgary,Canada,North America,https://www.linkedin.com/in/marthahallfindlay/?originalSubdomain=ca,"51.04473309999999, -114.0718831",51.044733,-114.071883,Unknown,Unknown
